TYPE,CODE,NAME
location,140828,    夏县
location,140829,    平陆县
location,140830,    芮城县
location,140881,    永济市
location,140882,    河津市
location,140900,忻州市
location,140902,    忻府区
location,140921,    定襄县
location,140922,    五台县
location,140923,    代县
location,140924,    繁峙县
location,140925,    宁武县
location,140926,    静乐县
location,140927,    神池县
location,140928,    五寨县
location,140929,    岢岚县
location,140930,    河曲县
location,140931,    保德县
location,140932,    偏关县
location,140981,    原平市
location,141000,临汾市
location,141002,    尧都区
location,141021,    曲沃县
location,141022,    翼城县
location,141023,    襄汾县
location,141024,    洪洞县
location,141025,    古县
location,141026,    安泽县
location,141027,    浮山县
location,141028,    吉县
location,141029,    乡宁县
location,141030,    大宁县
location,141031,    隰县
location,141032,    永和县
location,141033,    蒲县
location,141034,    汾西县
location,141081,    侯马市
location,141082,    霍州市
location,141100,吕梁市
location,141102,    离石区
location,141121,    文水县
location,141122,    交城县
location,141123,    兴县
location,141124,    临县
location,141125,    柳林县
location,141126,    石楼县
location,141127,    岚县
location,141128,    方山县
location,141129,    中阳县
location,141130,    交口县
location,141181,    孝义市
location,141182,    汾阳市
location,150000,内蒙古自治区
location,150100,呼和浩特市
location,150102,    新城区
location,150103,    回民区
location,150104,    玉泉区
location,150105,    赛罕区
location,150121,    土默特左旗
location,150122,    托克托县
location,150123,    和林格尔县
location,150124,    清水河县
location,150125,    武川县
location,150200,包头市
location,150202,    东河区
location,150203,    昆都仑区
location,150204,    青山区
location,150205,    石拐区
location,150206,    白云鄂博矿区
location,150207,    九原区
location,150221,    土默特右旗
location,150222,    固阳县
location,150223,    达尔罕茂明安联合旗
location,150300,乌海市
location,150302,    海勃湾区
location,150303,    海南区
location,150304,    乌达区
location,150400,赤峰市
location,150402,    红山区
location,150403,    元宝山区
location,150404,    松山区
location,150421,    阿鲁科尔沁旗
location,150422,    巴林左旗
location,150423,    巴林右旗
location,150424,    林西县
location,150425,    克什克腾旗
location,150426,    翁牛特旗
location,150428,    喀喇沁旗
location,150429,    宁城县
location,150430,    敖汉旗
location,150500,通辽市
location,150502,    科尔沁区
location,150521,    科尔沁左翼中旗
location,150522,    科尔沁左翼后旗
location,150523,    开鲁县
location,150524,    库伦旗
location,150525,    奈曼旗
location,150526,    扎鲁特旗
location,150581,    霍林郭勒市
location,150600,鄂尔多斯市
location,150602,    东胜区
location,150603,    康巴什区
location,150621,    达拉特旗
location,150622,    准格尔旗
location,150623,    鄂托克前旗
location,150624,    鄂托克旗
location,150625,    杭锦旗
location,150626,    乌审旗
location,150627,    伊金霍洛旗
location,150700,呼伦贝尔市
location,150702,    海拉尔区
location,150703,    扎赉诺尔区
location,150721,    阿荣旗
location,150722,    莫力达瓦达斡尔族自治旗
location,150723,    鄂伦春自治旗
location,150724,    鄂温克族自治旗
location,150725,    陈巴尔虎旗
location,150726,    新巴尔虎左旗
location,150727,    新巴尔虎右旗
location,150781,    满洲里市
location,150782,    牙克石市
location,150783,    扎兰屯市
location,150784,    额尔古纳市
location,150785,    根河市
location,150800,巴彦淖尔市
location,150802,    临河区
location,150821,    五原县
location,150822,    磴口县
location,150823,    乌拉特前旗
location,150824,    乌拉特中旗
location,150825,    乌拉特后旗
location,150826,    杭锦后旗
location,150900,乌兰察布市
location,150902,    集宁区
location,150921,    卓资县
location,150922,    化德县
location,150923,    商都县
location,150924,    兴和县
location,150925,    凉城县
location,150926,    察哈尔右翼前旗
location,150927,    察哈尔右翼中旗
location,150928,    察哈尔右翼后旗
location,150929,    四子王旗
location,150981,    丰镇市
location,152200,兴安盟
location,152201,    乌兰浩特市
location,152202,    阿尔山市
location,152221,    科尔沁右翼前旗
location,152222,    科尔沁右翼中旗
location,152223,    扎赉特旗
location,152224,    突泉县
location,152500,锡林郭勒盟
location,152501,    二连浩特市
location,152502,    锡林浩特市
location,152522,    阿巴嘎旗
location,152523,    苏尼特左旗
location,152524,    苏尼特右旗
location,152525,    东乌珠穆沁旗
location,152526,    西乌珠穆沁旗
location,152527,    太仆寺旗
location,152528,    镶黄旗
location,152529,    正镶白旗
location,152530,    正蓝旗
location,152531,    多伦县
location,152900,阿拉善盟
location,152921,    阿拉善左旗
location,152922,    阿拉善右旗
location,152923,    额济纳旗
location,210000,辽宁省
location,210100,沈阳市
location,210102,    和平区
location,210103,    沈河区
location,210104,    大东区
location,210105,    皇姑区
location,210106,    铁西区
location,210111,    苏家屯区
location,210112,    浑南区
location,210113,    沈北新区
location,210114,    于洪区
location,210115,    辽中区
location,210123,    康平县
location,210124,    法库县
location,210181,    新民市
location,210200,大连市
location,210202,    中山区
location,210203,    西岗区
location,210204,    沙河口区
location,210211,    甘井子区
location,210212,    旅顺口区
location,210213,    金州区
location,210214,    普兰店区
location,210224,    长海县
location,210281,    瓦房店市
location,210283,    庄河市
location,210300,鞍山市
location,210302,    铁东区
location,210303,    铁西区
location,210304,    立山区
location,210311,    千山区
location,210321,    台安县
location,210323,    岫岩满族自治县
location,210381,    海城市
location,210400,抚顺市
location,210402,    新抚区
location,210403,    东洲区
location,210404,    望花区
location,210411,    顺城区
location,210421,    抚顺县
location,210422,    新宾满族自治县
location,210423,    清原满族自治县
location,210500,本溪市
location,210502,    平山区
location,210503,    溪湖区
location,210504,    明山区
location,210505,    南芬区
location,210521,    本溪满族自治县
location,210522,    桓仁满族自治县
location,210600,丹东市
location,210602,    元宝区
location,210603,    振兴区
location,210604,    振安区
location,210624,    宽甸满族自治县
location,210681,    东港市
location,210682,    凤城市
location,210700,锦州市
location,210702,    古塔区
location,210703,    凌河区
location,210711,    太和区
location,210726,    黑山县
location,210727,    义县
location,210781,    凌海市
location,210782,    北镇市
location,210800,营口市
location,210802,    站前区
location,210803,    西市区
location,210804,    鲅鱼圈区
location,210811,    老边区
location,210881,    盖州市
location,210882,    大石桥市
location,210900,阜新市
location,210902,    海州区
location,210903,    新邱区
location,210904,    太平区
location,210905,    清河门区
location,210911,    细河区
location,210921,    阜新蒙古族自治县
location,210922,    彰武县
location,211000,辽阳市
location,211002,    白塔区
location,211003,    文圣区
location,211004,    宏伟区
location,211005,    弓长岭区
location,211011,    太子河区
location,211021,    辽阳县
location,211081,    灯塔市
location,211100,盘锦市
location,211102,    双台子区
location,211103,    兴隆台区
location,211104,    大洼区
location,211122,    盘山县
location,211200,铁岭市
location,211202,    银州区
location,211204,    清河区
location,211221,    铁岭县
location,211223,    西丰县
location,211224,    昌图县
location,211281,    调兵山市
location,211282,    开原市
location,211300,朝阳市
location,211302,    双塔区
location,211303,    龙城区
location,211321,    朝阳县
location,211322,    建平县
location,211324,    喀喇沁左翼蒙古族自治县
location,211381,    北票市
location,211382,    凌源市
location,211400,葫芦岛市
location,211402,    连山区
location,211403,    龙港区
location,211404,    南票区
location,211421,    绥中县
location,211422,    建昌县
location,211481,    兴城市
location,220000,吉林省
location,220100,长春市
location,220102,    南关区
location,220103,    宽城区
location,220104,    朝阳区
location,220105,    二道区
location,220106,    绿园区
location,220112,    双阳区
location,220113,    九台区
location,220122,    农安县
location,220182,    榆树市
location,220183,    德惠市
location,220200,吉林市
location,220202,    昌邑区
location,220203,    龙潭区
location,220204,    船营区
location,220211,    丰满区
location,220221,    永吉县
location,220281,    蛟河市
location,220282,    桦甸市
location,220283,    舒兰市
location,220284,    磐石市
location,220300,四平市
location,220302,    铁西区
location,220303,    铁东区
location,220322,    梨树县
location,220323,    伊通满族自治县
location,220381,    公主岭市
location,220382,    双辽市
location,220400,辽源市
location,220402,    龙山区
location,220403,    西安区
location,220421,    东丰县
location,220422,    东辽县
location,220500,通化市
location,220502,    东昌区
location,220503,    二道江区
location,220521,    通化县
location,220523,    辉南县
location,220524,    柳河县
location,220581,    梅河口市
location,220582,    集安市
location,220600,白山市
location,220602,    浑江区
location,220605,    江源区
location,220621,    抚松县
location,220622,    靖宇县
location,220623,    长白朝鲜族自治县
location,220681,    临江市
location,220700,松原市
location,220702,    宁江区
location,220721,    前郭尔罗斯蒙古族自治县
location,220722,    长岭县
location,220723,    乾安县
location,220781,    扶余市
location,220800,白城市
location,220802,    洮北区
location,220821,    镇赉县
location,220822,    通榆县
location,220881,    洮南市
location,220882,    大安市
location,222400,延边朝鲜族自治州
location,222401,    延吉市
